PostalCode,City,Municipality,Province
1000,Brussel,Brussel,Région
1020,Laken,Brussel,Région
1030,Schaarbeek,Schaarbeek,Région
1040,Etterbeek,Etterbeek,Région
1050,Elsene,Elsene,Région
1081,Koekelberg,Koekelberg,Région
1083,Ganshoren,Ganshoren,Région
1090,Jette,Jette,Région
1130,Haren,Brussel,Région
1140,Evere,Evere,Région
1160,Oudergem,Oudergem,Région
1180,Ukkel,Ukkel,Région
1190,Vorst,Vorst,Région
1300,Wavre,Wavre,Brabant
1300,Limal,Wavre,Brabant
1301,Bierges,Wavre,Brabant
1310,La,Hulpe,La
1315,Incourt,Incourt,Brabant
1315,Opprebais,Incourt,Brabant
1315,Piétrebais,Incourt,Brabant
1315,Glimes,Incourt,Brabant
1320,Beauvechain,Beauvechain,Brabant
1320,Nodebais,Beauvechain,Brabant
1330,Rixensart,Rixensart,Brabant
1332,Genval,Rixensart,Brabant
1351,Rosières,Rixensart,Brabant
1357,Hélécine,Hélécine,Brabant
1357,Neerheylissem,Hélécine,Brabant
1357,Opheylissem,Hélécine,Brabant
1357,Linsmeau,Hélécine,Brabant
1360,Perwez,Perwez,Brabant
1360,Orbais,Perwez,Brabant
1367,Ramillies,Ramillies,Brabant
1367,Huppaye,Ramillies,Brabant
1367,Bomal,Ramillies,Brabant
1367,Gérompont,Ramillies,Brabant
1370,Jodoigne,Jodoigne,Brabant
1370,Mélin,Jodoigne,Brabant
1370,Piétrain,Jodoigne,Brabant
1370,Lathuy,Jodoigne,Brabant
1370,Dongelberg,Jodoigne,Brabant
1370,Jauchelette,Jodoigne,Brabant
1380,Lasne,Lasne,Brabant
1380,Ohain,Lasne,Brabant
1380,Plancenoit,Lasne,Brabant
1380,Maransart,Lasne,Brabant
1400,Nivelles,Nivelles,Brabant
1400,Monstreux,Nivelles,Brabant
1401,Baulers,Nivelles,Brabant
1402,Thines,Nivelles,Brabant
1404,Bornival,Nivelles,Brabant
1410,Waterloo,Waterloo,Brabant
1430,Rebecq,Rebecq,Brabant
1430,Quenast,Rebecq,Brabant
1430,Bierghes,Rebecq,Brabant
1450,Chastre,Chastre,Brabant
1450,Gentinnes,Chastre,Brabant
1457,Walhain,Walhain,Brabant
1460,Ittre,Ittre,Brabant
1470,Genappe,Genappe,Brabant
1470,Bousval,Genappe,Brabant
1471,Loupoigne,Genappe,Brabant
1473,Glabais,Genappe,Brabant
1474,Ways,Genappe,Brabant
1480,Tubize,Tubize,Brabant
1480,Saintes,Tubize,Brabant
1480,Clabecq,Tubize,Brabant
1480,Oisquercq,Tubize,Brabant
1500,Halle,Halle,Brabant
1501,Buizingen,Halle,Brabant
1502,Lembeek,Halle,Brabant
1540,Herne,Herne,Brabant
1540,Herfelingen,Herne,Brabant
1547,Bever,Bever,Brabant
1560,Hoeilaart,Hoeilaart,Brabant
1570,Galmaarden,Galmaarden,Brabant
1570,Tollembeek,Galmaarden,Brabant
1570,Vollezele,Galmaarden,Brabant
1620,Drogenbos,Drogenbos,Brabant
1630,Linkebeek,Linkebeek,Brabant
1650,Beersel,Beersel,Brabant
1651,Lot,Beersel,Brabant
1652,Alsemberg,Beersel,Brabant
1653,Dworp,Beersel,Brabant
1654,Huizingen,Beersel,Brabant
1670,Pepingen,Pepingen,Brabant
1670,Heikruis,Pepingen,Brabant
1670,Bogaarden,Pepingen,Brabant
1671,Elingen,Pepingen,Brabant
1673,Beert,Pepingen,Brabant
1674,Bellingen,Pepingen,Brabant
1700,Dilbeek,Dilbeek,Brabant
1701,Itterbeek,Dilbeek,Brabant
1703,Schepdaal,Dilbeek,Brabant
1730,Asse,Asse,Brabant
1730,Mollem,Asse,Brabant
1730,Kobbegem,Asse,Brabant
1730,Bekkerzeel,Asse,Brabant
1731,Zellik,Asse,Brabant
1731,Relegem,Asse,Brabant
1740,Ternat,Ternat,Brabant
1741,Wambeek,Ternat,Brabant
1745,Opwijk,Opwijk,Brabant
1745,Mazenzele,Opwijk,Brabant
1750,Lennik,Lennik,Brabant
1750,Gaasbeek,Lennik,Brabant
1755,Gooik,Gooik,Brabant
1755,Kester,Gooik,Brabant
1755,Leerbeek,Gooik,Brabant
1755,Oetingen,Gooik,Brabant
1760,Roosdaal,Roosdaal,Brabant
1760,Pamel,Roosdaal,Brabant
1760,Strijtem,Roosdaal,Brabant
1761,Borchtlombeek,Roosdaal,Brabant
1770,Liedekerke,Liedekerke,Brabant
1780,Wemmel,Wemmel,Brabant
1785,Merchtem,Merchtem,Brabant
1785,Brussegem,Merchtem,Brabant
1785,Hamme,Merchtem,Brabant
1790,Affligem,Affligem,Brabant
1790,Essene,Affligem,Brabant
1790,Hekelgem,Affligem,Brabant
1790,Teralfene,Affligem,Brabant
1800,Vilvoorde,Vilvoorde,Brabant
1800,Peutie,Vilvoorde,Brabant
1820,Steenokkerzeel,Steenokkerzeel,Brabant
1820,Perk,Steenokkerzeel,Brabant
1820,Melsbroek,Steenokkerzeel,Brabant
1830,Machelen,Machelen,Brabant
1831,Diegem,Machelen,Brabant
1840,Londerzeel,Londerzeel,Brabant
1840,Malderen,Londerzeel,Brabant
1840,Steenhuffel,Londerzeel,Brabant
1850,Grimbergen,Grimbergen,Brabant
1851,Humbeek,Grimbergen,Brabant
1852,Beigem,Grimbergen,Brabant
1860,Meise,Meise,Brabant
1861,Wolvertem,Meise,Brabant
1910,Kampenhout,Kampenhout,Brabant
1910,Nederokkerzeel,Kampenhout,Brabant
1910,Berg,Kampenhout,Brabant
1910,Buken,Kampenhout,Brabant
1930,Zaventem,Zaventem,Brabant
1930,Nossegem,Zaventem,Brabant
1933,Sterrebeek,Zaventem,Brabant
1950,Kraainem,Kraainem,Brabant
1980,Zemst,Zemst,Brabant
1980,Eppegem,Zemst,Brabant
1981,Hofstade,Zemst,Brabant
1982,Elewijt,Zemst,Brabant
1982,Weerde,Zemst,Brabant
2000,Anvers,Anvers,Anvers
2040,Berendrecht,Anvers,Anvers
2040,Zandvliet,Anvers,Anvers
2040,Lillo,Anvers,Anvers
2070,Zwijndrecht,Zwijndrecht,Anvers
2070,Burcht,Zwijndrecht,Anvers
2100,Deurne,Anvers,Anvers
2110,Wijnegem,Wijnegem,Anvers
2140,Borgerhout,Anvers,Anvers
2150,Borsbeek,Borsbeek,Anvers
2160,Wommelgem,Wommelgem,Anvers
2170,Merksem,Anvers,Anvers
2180,Ekeren,Anvers,Anvers
2200,Herentals,Herentals,Anvers
2200,Noorderwijk,Herentals,Anvers
2200,Morkhoven,Herentals,Anvers
2230,Herselt,Herselt,Anvers
2230,Ramsel,Herselt,Anvers
2235,Hulshout,Hulshout,Anvers
2235,Houtvenne,Hulshout,Anvers
2235,Westmeerbeek,Hulshout,Anvers
2240,Zandhoven,Zandhoven,Anvers
2240,Massenhoven,Zandhoven,Anvers
2240,Viersel,Zandhoven,Anvers
2242,Pulderbos,Zandhoven,Anvers
2243,Pulle,Zandhoven,Anvers
2250,Olen,Olen,Anvers
2260,Westerlo,Westerlo,Anvers
2260,Tongerlo,Westerlo,Anvers
2260,Oevel,Westerlo,Anvers
2270,Herenthout,Herenthout,Anvers
2275,Lille,Lille,Anvers
2275,Gierle,Lille,Anvers
2275,Wechelderzande,Lille,Anvers
2275,Poederlee,Lille,Anvers
2280,Grobbendonk,Grobbendonk,Anvers
2288,Bouwel,Grobbendonk,Anvers
2290,Vorselaar,Vorselaar,Anvers
2300,Turnhout,Turnhout,Anvers
2310,Rijkevorsel,Rijkevorsel,Anvers
2320,Hoogstraten,Hoogstraten,Anvers
2321,Meer,Hoogstraten,Anvers
2322,Minderhout,Hoogstraten,Anvers
2323,Wortel,Hoogstraten,Anvers
2328,Meerle,Hoogstraten,Anvers
2330,Merksplas,Merksplas,Anvers
2340,Beerse,Beerse,Anvers
2340,Vlimmeren,Beerse,Anvers
2350,Vosselaar,Vosselaar,Anvers
2370,Arendonk,Arendonk,Anvers
2380,Ravels,Ravels,Anvers
2381,Weelde,Ravels,Anvers
2382,Poppel,Ravels,Anvers
2390,Malle,Malle,Anvers
2390,Oostmalle,Malle,Anvers
2390,Westmalle,Malle,Anvers
2400,Mol,Mol,Anvers
2430,Laakdal,Laakdal,Anvers
2430,Vorst,Laakdal,Anvers
2430,Eindhout,Laakdal,Anvers
2431,Veerle,Laakdal,Anvers
2431,Varendonk,Laakdal,Anvers
2440,Geel,Geel,Anvers
2450,Meerhout,Meerhout,Anvers
2460,Kasterlee,Kasterlee,Anvers
2460,Lichtaart,Kasterlee,Anvers
2460,Tielen,Kasterlee,Anvers
2470,Retie,Retie,Anvers
2480,Dessel,Dessel,Anvers
2490,Balen,Balen,Anvers
2491,Olmen,Balen,Anvers
2500,Lier,Lier,Anvers
2500,Koningshooikt,Lier,Anvers
2520,Ranst,Ranst,Anvers
2520,Oelegem,Ranst,Anvers
2520,Broechem,Ranst,Anvers
2520,Emblem,Ranst,Anvers
2530,Boechout,Boechout,Anvers
2531,Vremde,Boechout,Anvers
2540,Hove,Hove,Anvers
2547,Lint,Lint,Anvers
2550,Kontich,Kontich,Anvers
2550,Waarloos,Kontich,Anvers
2560,Nijlen,Nijlen,Anvers
2560,Kessel,Nijlen,Anvers
2560,Bevel,Nijlen,Anvers
2570,Duffel,Duffel,Anvers
2580,Putte,Putte,Anvers
2580,Beerzel,Putte,Anvers
2590,Berlaar,Berlaar,Anvers
2590,Gestel,Berlaar,Anvers
2600,Berchem,Anvers,Anvers
2610,Wilrijk,Anvers,Anvers
2620,Hemiksem,Hemiksem,Anvers
2627,Schelle,Schelle,Anvers
2630,Aartselaar,Aartselaar,Anvers
2640,Mortsel,Mortsel,Anvers
2650,Edegem,Edegem,Anvers
2660,Hoboken,Anvers,Anvers
2800,Mechelen,Mechelen,Anvers
2800,Walem,Mechelen,Anvers
2801,Heffen,Mechelen,Anvers
2811,Hombeek,Mechelen,Anvers
2811,Leest,Mechelen,Anvers
2812,Muizen,Mechelen,Anvers
2820,Bonheiden,Bonheiden,Anvers
2820,Rijmenam,Bonheiden,Anvers
2830,Willebroek,Willebroek,Anvers
2830,Blaasveld,Willebroek,Anvers
2830,Tisselt,Willebroek,Anvers
2830,Heindonk,Willebroek,Anvers
2840,Rumst,Rumst,Anvers
2840,Reet,Rumst,Anvers
2840,Terhagen,Rumst,Anvers
2845,Niel,Niel,Anvers
2850,Boom,Boom,Anvers
2880,Bornem,Bornem,Anvers
2880,Hingene,Bornem,Anvers
2880,Mariekerke,Bornem,Anvers
2880,Weert,Bornem,Anvers
2900,Schoten,Schoten,Anvers
2910,Essen,Essen,Anvers
2920,Kalmthout,Kalmthout,Anvers
2930,Brasschaat,Brasschaat,Anvers
2940,Stabroek,Stabroek,Anvers
2940,Hoevenen,Stabroek,Anvers
2950,Kapellen,Kapellen,Anvers
2960,Brecht,Brecht,Anvers
2970,Schilde,Schilde,Anvers
2980,Zoersel,Zoersel,Anvers
2980,Halle,Zoersel,Anvers
2990,Wuustwezel,Wuustwezel,Anvers
2990,Loenhout,Wuustwezel,Anvers
3000,Leuven,Leuven,Brabant
3001,Heverlee,Leuven,Brabant
3012,Wilsele,Leuven,Brabant
3018,Wijgmaal,Leuven,Brabant
3020,Herent,Herent,Brabant
3020,Winksele,Herent,Brabant
3040,Huldenberg,Huldenberg,Brabant
3040,Neerijse,Huldenberg,Brabant
3040,Ottenburg,Huldenberg,Brabant
3040,Loonbeek,Huldenberg,Brabant
3060,Bertem,Bertem,Brabant
3061,Leefdaal,Bertem,Brabant
3070,Kortenberg,Kortenberg,Brabant
3078,Everberg,Kortenberg,Brabant
3078,Meerbeek,Kortenberg,Brabant
3080,Tervuren,Tervuren,Brabant
3080,Vossem,Tervuren,Brabant
3080,Duisburg,Tervuren,Brabant
3090,Overijse,Overijse,Brabant
3110,Rotselaar,Rotselaar,Brabant
3111,Wezemaal,Rotselaar,Brabant
3118,Werchter,Rotselaar,Brabant
3120,Tremelo,Tremelo,Brabant
3128,Baal,Tremelo,Brabant
3130,Begijnendijk,Begijnendijk,Brabant
3130,Betekom,Begijnendijk,Brabant
3140,Keerbergen,Keerbergen,Brabant
3150,Haacht,Haacht,Brabant
3150,Tildonk,Haacht,Brabant
3150,Wespelaar,Haacht,Brabant
3190,Boortmeerbeek,Boortmeerbeek,Brabant
3191,Hever,Boortmeerbeek,Brabant
3200,Aarschot,Aarschot,Brabant
3200,Gelrode,Aarschot,Brabant
3201,Langdorp,Aarschot,Brabant
3202,Rillaar,Aarschot,Brabant
3210,Lubbeek,Lubbeek,Brabant
3210,Linden,Lubbeek,Brabant
3211,Binkom,Lubbeek,Brabant
3212,Pellenberg,Lubbeek,Brabant
3220,Holsbeek,Holsbeek,Brabant
3221,Nieuwrode,Holsbeek,Brabant
3290,Diest,Diest,Brabant
3290,Schaffen,Diest,Brabant
3290,Deurne,Diest,Brabant
3290,Webbekom,Diest,Brabant
3293,Kaggevinne,Diest,Brabant
3294,Molenstede,Diest,Brabant
3300,Tienen,Tienen,Brabant
3300,Hakendover,Tienen,Brabant
3300,Bost,Tienen,Brabant
3300,Goetsenhoven,Tienen,Brabant
3300,Oorbeek,Tienen,Brabant
3300,Vissenaken,Tienen,Brabant
3300,Kumtich,Tienen,Brabant
3300,Oplinter,Tienen,Brabant
3320,Hoegaarden,Hoegaarden,Brabant
3320,Meldert,Hoegaarden,Brabant
3321,Outgaarden,Hoegaarden,Brabant
3350,Linter,Linter,Brabant
3350,Drieslinter,Linter,Brabant
3350,Neerlinter,Linter,Brabant
3350,Wommersom,Linter,Brabant
3350,Overhespen,Linter,Brabant
3350,Melkwezer,Linter,Brabant
3350,Neerhespen,Linter,Brabant
3360,Bierbeek,Bierbeek,Brabant
3360,Lovenjoel,Bierbeek,Brabant
3360,Opvelp,Bierbeek,Brabant
3370,Boutersem,Boutersem,Brabant
3370,Roosbeek,Boutersem,Brabant
3370,Kerkom,Boutersem,Brabant
3370,Vertrijk,Boutersem,Brabant
3370,Neervelp,Boutersem,Brabant
3370,Willebringen,Boutersem,Brabant
3380,Glabbeek,Glabbeek,Brabant
3380,Bunsbeek,Glabbeek,Brabant
3381,Kapellen,Glabbeek,Brabant
3384,Attenrode,Glabbeek,Brabant
3400,Landen,Landen,Brabant
3400,Laar,Landen,Brabant
3400,Ezemaal,Landen,Brabant
3400,Eliksem,Landen,Brabant
3400,Wange,Landen,Brabant
3400,Neerwinden,Landen,Brabant
3400,Overwinden,Landen,Brabant
3400,Rumsdorp,Landen,Brabant
3401,Waasmont,Landen,Brabant
3401,Walsbets,Landen,Brabant
3401,Walshoutem,Landen,Brabant
3401,Wezeren,Landen,Brabant
3404,Attenhoven,Landen,Brabant
3404,Neerlanden,Landen,Brabant
3440,Zoutleeuw,Zoutleeuw,Brabant
3440,Budingen,Zoutleeuw,Brabant
3440,Dormaal,Zoutleeuw,Brabant
3450,Geetbets,Geetbets,Brabant
3450,Grazen,Geetbets,Brabant
3454,Rummen,Geetbets,Brabant
3460,Bekkevoort,Bekkevoort,Brabant
3460,Assent,Bekkevoort,Brabant
3470,Kortenaken,Kortenaken,Brabant
3470,Ransberg,Kortenaken,Brabant
3471,Hoeleden,Kortenaken,Brabant
3473,Waanrode,Kortenaken,Brabant
3500,Hasselt,Hasselt,Limbourg
3501,Wimmertingen,Hasselt,Limbourg
3510,Kermt,Hasselt,Limbourg
3510,Spalbeek,Hasselt,Limbourg
3511,Kuringen,Hasselt,Limbourg
3511,Stokrooie,Hasselt,Limbourg
3512,Stevoort,Hasselt,Limbourg
3520,Zonhoven,Zonhoven,Limbourg
3545,Halen,Halen,Limbourg
3545,Zelem,Halen,Limbourg
3545,Loksbergen,Halen,Limbourg
3560,Lummen,Lummen,Limbourg
3560,Linkhout,Lummen,Limbourg
3560,Meldert,Lummen,Limbourg
3570,Alken,Alken,Limbourg
3580,Beringen,Beringen,Limbourg
3581,Beverlo,Beringen,Limbourg
3582,Koersel,Beringen,Limbourg
3582,Stal,Beringen,Limbourg
3590,Diepenbeek,Diepenbeek,Limbourg
3593,Paal,Beringen,Limbourg
3600,Genk,Genk,Limbourg
3620,Lanaken,Lanaken,Limbourg
3620,Gellik,Lanaken,Limbourg
3620,Veldwezelt,Lanaken,Limbourg
3620,Neerharen,Lanaken,Limbourg
3621,Rekem,Lanaken,Limbourg
3630,Maasmechelen,Maasmechelen,Limbourg
3630,Eisden,Maasmechelen,Limbourg
3630,Opgrimbie,Maasmechelen,Limbourg
3630,Vucht,Maasmechelen,Limbourg
3630,Leut,Maasmechelen,Limbourg
3630,Meeswijk,Maasmechelen,Limbourg
3631,Boorsem,Maasmechelen,Limbourg
3631,Uikhoven,Maasmechelen,Limbourg
3640,Kinrooi,Kinrooi,Limbourg
3640,Molenbeersel,Kinrooi,Limbourg
3640,Ophoven,Kinrooi,Limbourg
3640,Kessenich,Kinrooi,Limbourg
3660,Opglabbeek,Oudsbergen,Limbourg
3665,As,As,Limbourg
3670,Oudsbergen,Oudsbergen,Limbourg
3670,Meeuwen,Oudsbergen,Limbourg
3670,Gruitrode,Oudsbergen,Limbourg
3670,Wijshagen,Oudsbergen,Limbourg
3670,Ellikom,Oudsbergen,Limbourg
3670,Neerglabbeek,Oudsbergen,Limbourg
3680,Maaseik,Maaseik,Limbourg
3680,Neeroeteren,Maaseik,Limbourg
3680,Opoeteren,Maaseik,Limbourg
3690,Zutendaal,Zutendaal,Limbourg
3700,Tongeren,Tongeren,Limbourg
3700,Koninksem,Tongeren,Limbourg
3700,Vreren,Tongeren,Limbourg
3700,Berg,Tongeren,Limbourg
3700,Lauw,Tongeren,Limbourg
3700,Mal,Tongeren,Limbourg
3700,Riksingen,Tongeren,Limbourg
3700,Henis,Tongeren,Limbourg
3700,Nerem,Tongeren,Limbourg
3700,Piringen,Tongeren,Limbourg
3700,Rutten,Tongeren,Limbourg
3700,Sluizen,Tongeren,Limbourg
3700,Overrepen,Tongeren,Limbourg
3700,s,Herenelderen,Tongeren
3700,Widooie,Tongeren,Limbourg
3700,Neerrepen,Tongeren,Limbourg
3717,Herstappe,Herstappe,Limbourg
3720,Kortessem,Kortessem,Limbourg
3721,Vliermaalroot,Kortessem,Limbourg
3722,Wintershoven,Kortessem,Limbourg
3723,Guigoven,Kortessem,Limbourg
3724,Vliermaal,Kortessem,Limbourg
3730,Hoeselt,Hoeselt,Limbourg
3730,Romershoven,Hoeselt,Limbourg
3730,Werm,Hoeselt,Limbourg
3732,Schalkhoven,Hoeselt,Limbourg
3740,Bilzen,Bilzen,Limbourg
3740,Beverst,Bilzen,Limbourg
3740,Munsterbilzen,Bilzen,Limbourg
3740,Eigenbilzen,Bilzen,Limbourg
3740,Mopertingen,Bilzen,Limbourg
3740,Rijkhoven,Bilzen,Limbourg
3740,Waltwilder,Bilzen,Limbourg
3740,Hees,Bilzen,Limbourg
3740,Rosmeer,Bilzen,Limbourg
3742,Martenslinde,Bilzen,Limbourg
3746,Hoelbeek,Bilzen,Limbourg
3770,Riemst,Riemst,Limbourg
3770,Vlijtingen,Riemst,Limbourg
3770,Herderen,Riemst,Limbourg
3770,Millen,Riemst,Limbourg
3770,Vroenhoven,Riemst,Limbourg
3770,Kanne,Riemst,Limbourg
3770,Membruggen,Riemst,Limbourg
3770,Genoelselderen,Riemst,Limbourg
3790,Voeren,Voeren,Limbourg
3790,Moelingen,Voeren,Limbourg
3790,Teuven,Voeren,Limbourg
3790,Remersdaal,Voeren,Limbourg
3830,Wellen,Wellen,Limbourg
3830,Berlingen,Wellen,Limbourg
3831,Herten,Wellen,Limbourg
3832,Ulbeek,Wellen,Limbourg
3840,Borgloon,Borgloon,Limbourg
3840,Hoepertingen,Borgloon,Limbourg
3840,Bommershoven,Borgloon,Limbourg
3840,Jesseren,Borgloon,Limbourg
3840,Kerniel,Borgloon,Limbourg
3840,Rijkel,Borgloon,Limbourg
3840,Broekom,Borgloon,Limbourg
3840,Gotem,Borgloon,Limbourg
3840,Hendrieken,Borgloon,Limbourg
3840,Voort,Borgloon,Limbourg
3840,Kuttekoven,Borgloon,Limbourg
3850,Nieuwerkerken,Nieuwerkerken,Limbourg
3850,Kozen,Nieuwerkerken,Limbourg
3850,Wijer,Nieuwerkerken,Limbourg
3850,Binderveld,Nieuwerkerken,Limbourg
3870,Heers,Heers,Limbourg
3870,Vechmaal,Heers,Limbourg
3870,Horpmaal,Heers,Limbourg
3870,Veulen,Heers,Limbourg
3870,Gutschoven,Heers,Limbourg
3870,Heks,Heers,Limbourg
3870,Mettekoven,Heers,Limbourg
3870,Batsheers,Heers,Limbourg
3870,Opheers,Heers,Limbourg
3890,Gingelom,Gingelom,Limbourg
3890,Jeuk,Gingelom,Limbourg
3890,Montenaken,Gingelom,Limbourg
3890,Boekhout,Gingelom,Limbourg
3890,Kortijs,Gingelom,Limbourg
3890,Vorsen,Gingelom,Limbourg
3891,Borlo,Gingelom,Limbourg
3891,Buvingen,Gingelom,Limbourg
3891,Muizen,Gingelom,Limbourg
3900,Pelt,Pelt,Limbourg
3900,Overpelt,Pelt,Limbourg
3910,Neerpelt,Pelt,Limbourg
3920,Lommel,Lommel,Limbourg
3945,Ham,Ham,Limbourg
3945,Oostham,Ham,Limbourg
3950,Bocholt,Bocholt,Limbourg
3950,Kaulille,Bocholt,Limbourg
3950,Reppel,Bocholt,Limbourg
3960,Bree,Bree,Limbourg
3960,Gerdingen,Bree,Limbourg
3960,Opitter,Bree,Limbourg
3960,Tongerlo,Bree,Limbourg
3960,Beek,Bree,Limbourg
3970,Leopoldsburg,Leopoldsburg,Limbourg
3971,Heppen,Leopoldsburg,Limbourg
3980,Tessenderlo,Tessenderlo,Limbourg
3990,Peer,Peer,Limbourg
3990,Wijchmaal,Peer,Limbourg
4000,Liège,Liège,Liège
4000,Rocourt,Liège,Liège
4000,Glain,Liège,Liège
4020,Bressoux,Liège,Liège
4020,Wandre,Liège,Liège
4030,Grivegnée,Liège,Liège
4031,Angleur,Liège,Liège
4032,Chênée,Liège,Liège
4040,Herstal,Herstal,Liège
4041,Vottem,Herstal,Liège
4041,Milmort,Herstal,Liège
4042,Liers,Herstal,Liège
4050,Chaudfontaine,Chaudfontaine,Liège
4052,Beaufays,Chaudfontaine,Liège
4053,Embourg,Chaudfontaine,Liège
4100,Seraing,Seraing,Liège
4100,Boncelles,Seraing,Liège
4101,Jemeppe,Seraing,Liège
4102,Ougrée,Seraing,Liège
4120,Neupré,Neupré,Liège
4120,Éhein,Neupré,Liège
4122,Plainevaux,Neupré,Liège
4130,Esneux,Esneux,Liège
4130,Tilff,Esneux,Liège
4140,Sprimont,Sprimont,Liège
4140,Rouvreux,Sprimont,Liège
4140,Dolembreux,Sprimont,Liège
4141,Louveigné,Sprimont,Liège
4160,Anthisnes,Anthisnes,Liège
4162,Hody,Anthisnes,Liège
4163,Tavier,Anthisnes,Liège
4180,Hamoir,Hamoir,Liège
4181,Filot,Hamoir,Liège
4190,Ferrières,Ferrières,Liège
4190,Xhoris,Ferrières,Liège
4190,My,Ferrières,Liège
4190,Werbomont,Ferrières,Liège
4190,Vieuxville,Ferrières,Liège
4210,Burdinne,Burdinne,Liège
4210,Marneffe,Burdinne,Liège
4210,Oteppe,Burdinne,Liège
4210,Hannêche,Burdinne,Liège
4210,Lamontzée,Burdinne,Liège
4217,Héron,Héron,Liège
4217,Lavoir,Héron,Liège
4218,Couthuin,Héron,Liège
4219,Wasseiges,Wasseiges,Liège
4219,Ambresin,Wasseiges,Liège
4219,Meeffe,Wasseiges,Liège
4219,Acosse,Wasseiges,Liège
4250,Geer,Geer,Liège
4250,Boëlhe,Geer,Liège
4252,Omal,Geer,Liège
4253,Darion,Geer,Liège
4254,Ligney,Geer,Liège
4257,Berloz,Berloz,Liège
4257,Corswarem,Berloz,Liège
4260,Braives,Braives,Liège
4260,Ciplet,Braives,Liège
4260,Fumal,Braives,Liège
4260,Fallais,Braives,Liège
4260,Avennes,Braives,Liège
4261,Latinne,Braives,Liège
4263,Tourinne,Braives,Liège
4280,Hannut,Hannut,Liège
4280,Thisnes,Hannut,Liège
4280,Avin,Hannut,Liège
4280,Moxhe,Hannut,Liège
4280,Crehen,Hannut,Liège
4280,Merdorp,Hannut,Liège
4280,Bertrée,Hannut,Liège
4280,Poucet,Hannut,Liège
4280,Abolens,Hannut,Liège
4280,Trognée,Hannut,Liège
4280,Wansin,Hannut,Liège
4280,Blehen,Hannut,Liège
4287,Lincent,Lincent,Liège
4287,Racour,Lincent,Liège
4287,Pellaines,Lincent,Liège
4300,Waremme,Waremme,Liège
4300,Oleye,Waremme,Liège
4300,Lantremange,Waremme,Liège
4300,Bettincourt,Waremme,Liège
4300,Bovenistier,Waremme,Liège
4300,Bleret,Waremme,Liège
4317,Faimes,Faimes,Liège
4317,Celles,Faimes,Liège
4317,Viemme,Faimes,Liège
4317,Les,Waleffes,Faimes
4317,Borlez,Faimes,Liège
4317,Aineffe,Faimes,Liège
4340,Awans,Awans,Liège
4340,Othée,Awans,Liège
4340,Fooz,Awans,Liège
4342,Hognoul,Awans,Liège
4350,Remicourt,Remicourt,Liège
4350,Momalle,Remicourt,Liège
4350,Pousset,Remicourt,Liège
4350,Lamine,Remicourt,Liège
4351,Hodeige,Remicourt,Liège
4357,Donceel,Donceel,Liège
4357,Haneffe,Donceel,Liège
4357,Jeneffe,Donceel,Liège
4357,Limont,Donceel,Liège
4360,Oreye,Oreye,Liège
4360,Grandville,Oreye,Liège
4360,Otrange,Oreye,Liège
4367,Crisnée,Crisnée,Liège
4367,Kemexhe,Crisnée,Liège
4367,Thys,Crisnée,Liège
4367,Odeur,Crisnée,Liège
4400,Flémalle,Flémalle,Liège
4400,Awirs,Flémalle,Liège
4400,Cahottes,Flémalle,Liège
4400,Chokier,Flémalle,Liège
4400,Gleixhe,Flémalle,Liège
4430,Ans,Ans,Liège
4431,Loncin,Ans,Liège
4432,Xhendremael,Ans,Liège
4432,Alleur,Ans,Liège
4450,Juprelle,Juprelle,Liège
4450,Slins,Juprelle,Liège
4450,Lantin,Juprelle,Liège
4452,Wihogne,Juprelle,Liège
4452,Paifve,Juprelle,Liège
4480,Engis,Engis,Liège
4500,Huy,Huy,Liège
4500,Tihange,Huy,Liège
4520,Wanze,Wanze,Liège
4520,Antheit,Wanze,Liège
4520,Moha,Wanze,Liège
4520,Vinalmont,Wanze,Liège
4520,Huccorgne,Wanze,Liège
4537,Verlaine,Verlaine,Liège
4537,Bodegnée,Verlaine,Liège
4540,Amay,Amay,Liège
4540,Ampsin,Amay,Liège
